"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"LES ELEVEURS DE LA CHEVILLOTTE";612820860;"https://fcelevage.fr/";;202;203;204;206;207;;;;;
"LES DELICES DE JANICE";439843327;"https://industrie.usinenouvelle.com/fiche/etablissement/les-delices-de-janice-66236729";;1905;;;;;;;;;
"LES ELEVEURS DE LA CHEVILLOTTE";612820860;"https://fcelevage.fr/les-eleveurs-de-la-chevillotte.html";;210;;;;;;;;;
"FROMAGERIE LINCET";95750287;"https://www.fromagerie-lincet.net";;406;;;;;;;;;
"LIORET";415720051;;1;;;;;;;;;;
"LISI AUTOMOTIVE FORMER";322624701;"https://www.lisi-automotive.com/fr/";;7318;;;;;;;;;
"LISI";536820269;"https://www.lisi-group.com/fr/index.html";;8479;;;;;;;;;
"LISI AUTOMOTIVE FORMER";322624701;"https://www.lisi-automotive.com/fr/";;7318;;;;;;;;;
"LISI AUTOMOTIVE FORMER";322624701;"https://www.lisi-automotive.com/fr";;7318;;;;;;;;;
"LISI AUTOMOTIVE FORMER";322624701;"https://www.lisi-automotive.com/fr/";;7318;;;;;;;;;
"LOCATRANS GENELARDAIS";501813398;"https://www.groupltg.com/";;;;;;;;;;1;
"LOGIVIA";429179229;"https://www.logivia.fr/";;;;;;;;;;1;
"LOGO";325697647;;1;;;;;;;;;;
"LOOK CYCLE INTERNATIONAL";419513262;"https://www.lookcycle.com/fr-fr/";;4011;;;;;;;;;
"JEAN LOUIS AMIOTTE";478812563;"https://www.jean-louis-amiotte.fr";;1602;;;;;;;;;
"GALIEN LPS";815068077;"https://www.galien.com/";;3004;3005;;;;;;;;
"GALIEN LPS";815068077;"https://www.galien.com/";;3004;3005;3003;;;;;;;
"LES CREATIONS LTN";426150058;;1;;;;;;;;;;
"LES CREATIONS LTN";426150058;;1;;;;;;;;;;
"LUFKIN GEARS FRANCE";950508051;"https://www.bakerhughes.com/";;8411;8410;8406;8421;;;;;;
"FLORETTE MACON";440410710;"https://www.florette.com/";;;;;;;;;;1;
"LABORATOIRES MACORS";378506927;"https://www.galien.com/";;3003;;;;;;;;;
"MACPLUS";448373845;"http://www.macplus-france.com/";;8515;8207;8463;;;;;;;
"ECS FRANCE MAGNET ENGINEERING";432951382;"https://ecs-global.fr/";;8505;8547;;;;;;;;
"ETUDES INSTALLATION MAINTENANCE INDUSTRI";316113208;"https://www.eimi.fr/";;;;;;;;;;1;
"ETUDES INSTALLATION MAINTENANCE INDUSTRI";316113208;"https://www.eimi.fr/";;;;;;;;;;1;
