'dept';'siren';'raison_sociale';'nature_juridique';'mode_financ';'nb_membres';'total_pop_tot';'total_pop_mun';'dep_com';'insee';'siren_membre';'nom_membre';'ptot_2021';'pmun_2021'
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01001';210100012;'L''Abergement-Clémenciat';789;771
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01449';210104493;'Villette-sur-Ain';771;757
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01261';210102612;'Monthieux';665;643
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01028';210100285;'Baneins';627;610
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01328';210103289;'Romans';593;589
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01412';210104121;'Sulignat';600;588
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01299';210102992;'Le Plantay';577;569
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01393';210103933;'Sandrans';545;540
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01319';210103198;'Relevant';473;464
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01434';210104345;'Versailleux';465;455
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01146';210101465;'Dompierre-sur-Chalaronne';439;435
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01335';210103354;'Saint-André-le-Bouchoux';402;396
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01085';210100855;'La Chapelle-du-Châtelard';399;394
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01090';210100905;'Châtenay';354;348
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01052';210100525;'Bouligneux';334;328
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01207';210102075;'Lapeyrouse';328;316
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01382';210103826;'Sainte-Olive';285;283
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01045';210100459;'Birieux';285;281
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01129';210101291;'Crans';284;278
